iter	Passed	Remaining
0	0	72
1	1	64
2	1	61
3	2	58
4	3	57
5	3	57
6	4	56
7	4	54
8	5	53
9	5	53
10	6	52
11	7	51
12	7	50
13	8	49
14	8	49
15	9	48
16	9	47
17	10	47
18	10	46
19	11	45
20	12	45
21	12	44
22	13	44
23	13	43
24	14	42
25	14	42
26	15	41
27	15	40
28	16	40
29	17	39
30	17	39
31	18	38
32	18	38
33	19	37
34	19	36
35	20	36
36	20	35
37	21	35
38	22	34
39	22	33
40	23	33
41	23	32
42	24	32
43	24	31
44	25	30
45	25	30
46	26	29
47	26	29
48	27	28
49	27	27
50	28	27
51	29	26
52	29	26
53	30	25
54	30	25
55	31	24
56	31	23
57	32	23
58	32	22
59	33	22
60	34	21
61	34	21
62	35	20
63	35	20
64	36	19
65	36	18
66	37	18
67	37	17
68	38	17
69	38	16
70	39	16
71	40	15
72	40	15
73	41	14
74	41	13
75	42	13
76	42	12
77	43	12
78	43	11
79	44	11
80	44	10
81	45	9
82	45	9
83	46	8
84	47	8
85	47	7
86	48	7
87	48	6
88	49	6
89	49	5
90	50	4
91	50	4
92	51	3
93	52	3
94	52	2
95	53	2
96	53	1
97	54	1
98	54	0
99	55	0
